,year,category,winner,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,numVotes
0,1944,BEST PICTURE,False,Double Indemnity,Crime|Drama|Film-Noir,4.2,107,8.3,125662.0
1,1944,BEST PICTURE,False,Gaslight,Drama|Thriller,4.03,114,7.8,20733.0
2,1944,BEST PICTURE,True,Going My Way,Comedy|Drama|Musical,3.56,126,7.2,9228.0
3,1944,BEST PICTURE,False,Since You Went Away,Drama|War,3.65,177,7.6,3879.0
4,1944,BEST PICTURE,False,Wilson,Drama,3.21,154,6.8,1314.0
5,1945,BEST PICTURE,False,Anchors Aweigh,Comedy|Musical,3.56,140,7.2,7177.0
6,1945,BEST PICTURE,False,The Bells of St. Mary's,,,126,7.4,6375.0
7,1945,BEST PICTURE,True,The Lost Weekend,,,101,8.0,30176.0
8,1945,BEST PICTURE,False,Mildred Pierce,Drama|Film-Noir,3.93,111,8.0,19982.0
9,1945,BEST PICTURE,False,Spellbound,Mystery|Romance|Thriller,3.89,111,7.6,39065.0
10,1946,BEST PICTURE,True,The Best Years of Our Lives,,,170,8.1,52846.0
11,1946,BEST PICTURE,False,Henry V,,,,,
12,1946,BEST PICTURE,False,It's a Wonderful Life,Children|Drama|Fantasy|Romance,4.02,130,8.6,352487.0
13,1946,BEST PICTURE,False,The Razor's Edge,,,145,7.5,4785.0
14,1946,BEST PICTURE,False,The Yearling,,,128,7.3,4868.0
15,1947,BEST PICTURE,False,The Bishop's Wife,,,109,7.6,12388.0
16,1947,BEST PICTURE,False,Crossfire,Crime|Film-Noir,3.66,86,7.4,6599.0
17,1947,BEST PICTURE,True,Gentleman's Agreement,Drama,3.74,118,7.4,13157.0
18,1947,BEST PICTURE,False,Great Expectations,,,,,
19,1947,BEST PICTURE,False,Miracle on 34th Street,Comedy|Drama,3.71,96,7.9,36755.0
20,1948,BEST PICTURE,True,Hamlet,Drama,3.75,154,7.8,13761.0
21,1948,BEST PICTURE,False,Johnny Belinda,Drama,3.53,102,7.8,3809.0
22,1948,BEST PICTURE,False,The Red Shoes,,,134,8.3,24336.0
23,1948,BEST PICTURE,False,The Snake Pit,,,108,7.6,5942.0
24,1948,BEST PICTURE,False,The Treasure of the Sierra Madre,,,126,8.2,100647.0
