year,category,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,imdb_numVotes,RottenCriticRating,rottencritic_numVotes,RottenRating,rotten_numVotes,won_bafta,won_sa,won_sag,won_cc,won_dga,won_nbra,won_oscar
1944,BEST PICTURE,Double Indemnity,Crime|Drama|Film-Noir,4.2,107,8.3,125662,96,57,95,35629,0,0,0,0,0,0,0
1944,BEST PICTURE,Gaslight,Drama|Thriller,4.03,114,7.8,20733,86,28,90,8460,0,0,0,0,0,0,0
1944,BEST PICTURE,Going My Way,Comedy|Drama|Musical,3.56,126,7.2,9228,79,24,76,5748,0,0,0,0,0,0,1
1944,BEST PICTURE,Since You Went Away,Drama|War,3.65,177,7.6,3879,80,10,82,1305,0,0,0,0,0,0,0
1944,BEST PICTURE,Wilson,Drama,3.21,154,6.8,1314,88,8,41,363,0,0,0,0,0,0,0
1945,BEST PICTURE,Anchors Aweigh,Comedy|Musical,3.56,140,7.2,7177,62,13,79,8276,0,0,0,0,0,0,0
1945,BEST PICTURE,The Bells of St. Mary's,Drama,3.79,126,7.4,6375,94,18,77,7097,0,0,0,0,0,0,0
1945,BEST PICTURE,The Lost Weekend,Drama|Film-Noir,3.89,101,8,30176,100,33,90,8800,0,0,0,0,0,0,1
1945,BEST PICTURE,Mildred Pierce,Drama|Film-Noir,3.93,111,8,19982,85,90,90,8201,0,0,0,0,0,0,0
1945,BEST PICTURE,Spellbound,Mystery|Romance|Thriller,3.89,111,7.6,39065,83,36,82,16880,0,0,0,0,0,0,0
1946,BEST PICTURE,The Best Years of Our Lives,Drama|Romance|War,4.05,170,8.1,52846,96,49,92,10761,0,0,0,0,0,0,1
1946,BEST PICTURE,Henry V,Biography|Drama|History,3.65,137,7.3,5188,94,33,83,1006,0,0,0,0,0,1,0
1946,BEST PICTURE,It's a Wonderful Life,Children|Drama|Fantasy|Romance,4.02,130,8.6,352487,93,75,95,218305,0,0,0,0,0,0,0
1946,BEST PICTURE,The Razor's Edge,Drama|Romance,3.75,145,7.5,4785,83,6,72,1892,0,0,0,0,0,0,0
1946,BEST PICTURE,The Yearling,Drama|Family|Western,3.65,128,7.3,4868,100,14,75,3759,0,0,0,0,0,0,0
1947,BEST PICTURE,The Bishop's Wife,Comedy|Drama|Fantasy,3.8,109,7.6,12388,83,23,81,7949,0,0,0,0,0,0,0
1947,BEST PICTURE,Crossfire,Crime|Film-Noir,3.66,86,7.4,6599,81,16,75,1874,0,0,0,0,0,0,0
1947,BEST PICTURE,Gentleman's Agreement,Drama,3.74,118,7.4,13157,78,37,77,5598,0,0,0,0,0,0,1
1947,BEST PICTURE,Great Expectations,Adveture|Drama|Mystery,3.95,118,7.9,20221,100,27,88,9170,0,0,0,0,0,0,0
1947,BEST PICTURE,Miracle on 34th Street,Comedy|Drama,3.71,96,7.9,36755,96,47,86,47505,0,0,0,0,0,0,0
1948,BEST PICTURE,Hamlet,Drama,3.75,154,7.8,13761,91,34,81,7514,1,0,0,0,0,0,1
1948,BEST PICTURE,Johnny Belinda,Drama,3.53,102,7.8,3809,89,9,88,1418,0,0,0,0,0,0,0
