,year,category,winner,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,imdb_numVotes,RottenCriticRating,rottencritic_numVotes,RottenRating,rotten_numVotes
0,1944,BEST PICTURE,FALSE,Double Indemnity,Crime|Drama|Film-Noir,4.2,107,8.3,125662,96,57,95,35629
1,1944,BEST PICTURE,FALSE,Gaslight,Drama|Thriller,4.03,114,7.8,20733,86,28,90,8460
2,1944,BEST PICTURE,TRUE,Going My Way,Comedy|Drama|Musical,3.56,126,7.2,9228,79,24,76,5748
3,1944,BEST PICTURE,FALSE,Since You Went Away,Drama|War,3.65,177,7.6,3879,80,10,82,1305
4,1944,BEST PICTURE,FALSE,Wilson,Drama,3.21,154,6.8,1314,88,8,41,363
5,1945,BEST PICTURE,FALSE,Anchors Aweigh,Comedy|Musical,3.56,140,7.2,7177,62,13,79,8276
6,1945,BEST PICTURE,FALSE,The Bells of St. Mary's,Drama,3.79,126,7.4,6375,94,18,77,7097
7,1945,BEST PICTURE,TRUE,The Lost Weekend,Drama|Film-Noir,3.89,101,8,30176,100,33,90,8800
8,1945,BEST PICTURE,FALSE,Mildred Pierce,Drama|Film-Noir,3.93,111,8,19982,85,90,90,8201
9,1945,BEST PICTURE,FALSE,Spellbound,Mystery|Romance|Thriller,3.89,111,7.6,39065,83,36,82,16880
10,1946,BEST PICTURE,TRUE,The Best Years of Our Lives,Drama|Romance|War,4.05,170,8.1,52846,96,49,92,10761
11,1946,BEST PICTURE,FALSE,Henry V,Biography|Drama|History,3.65,137,7.3,5188,94,33,83,1006
12,1946,BEST PICTURE,FALSE,It's a Wonderful Life,Children|Drama|Fantasy|Romance,4.02,130,8.6,352487,93,75,95,218305
13,1946,BEST PICTURE,FALSE,The Razor's Edge,Drama|Romance,3.75,145,7.5,4785,83,6,72,1892
14,1946,BEST PICTURE,FALSE,The Yearling,Drama|Family|Western,3.65,128,7.3,4868,100,14,75,3759
15,1947,BEST PICTURE,FALSE,The Bishop's Wife,Comedy|Drama|Fantasy,3.8,109,7.6,12388,83,23,81,7949
16,1947,BEST PICTURE,FALSE,Crossfire,Crime|Film-Noir,3.66,86,7.4,6599,81,16,75,1874
17,1947,BEST PICTURE,TRUE,Gentleman's Agreement,Drama,3.74,118,7.4,13157,78,37,77,5598
18,1947,BEST PICTURE,FALSE,Great Expectations,Adveture|Drama|Mystery,3.95,118,7.9,20221,100,27,88,9170
19,1947,BEST PICTURE,FALSE,Miracle on 34th Street,Comedy|Drama,3.71,96,7.9,36755,96,47,86,47505
20,1948,BEST PICTURE,TRUE,Hamlet,Drama,3.75,154,7.8,13761,91,34,81,7514
21,1948,BEST PICTURE,FALSE,Johnny Belinda,Drama,3.53,102,7.8,3809,89,9,88,1418
22,1948,BEST PICTURE,FALSE,The Red Shoes,Drama|Musical|Romance,4.15,134,8.3,24336,96,55,92,11713
23,1948,BEST PICTURE,FALSE,The Snake Pit,Drama|Mystery,3.8,108,7.6,5942,100,7,83,2642
24,1948,BEST PICTURE,FALSE,The Treasure of the Sierra Madre,Adventure|Drama|Western,4.1,126,8.2,100647,100,45,93,26022
25,1949,BEST PICTURE,TRUE,All the King's Men,Drama,3.9,110,7.5,11860,97,34,78,4832
26,1949,BEST PICTURE,FALSE,Battleground,Action|Drama|War,3.53,118,7.5,6037,100,5,82,2723
27,1949,BEST PICTURE,FALSE,The Heiress,Drama|Romance,4.1,115,8.2,11689,100,9,93,3000
28,1949,BEST PICTURE,FALSE,A Letter to Three Wives,Drama|Romance,3.6,103,7.8,7496,94,17,86,3711
29,1949,BEST PICTURE,FALSE,Twelve O'Clock High,Drama|War,3.89,132,7.8,11391,96,23,87,6003
30,1950,BEST PICTURE,TRUE,All About Eve,Drama,4.15,138,8.3,106339,100,66,94,45076
31,1950,BEST PICTURE,FALSE,Born Yesterday,Comedy,3.85,103,7.6,8916,95,21,86,4765
32,1950,BEST PICTURE,FALSE,Father of the Bride,Comedy,3.46,92,7.2,9134,93,29,74,13891
33,1950,BEST PICTURE,FALSE,King Solomon's Mines,Action|Adventure|Romance,3.33,103,6.9,5170,92,12,60,3231
34,1950,BEST PICTURE,FALSE,Sunset Boulevard,Drama|Film-Noir ,4.2,110,8.4,176525,98,62,95,53182
35,1951,BEST PICTURE,TRUE,An American in Paris,Drama|Musical|Romance,3.6,114,7.2,27161,95,62,79,26399
36,1951,BEST PICTURE,FALSE,Decision before Dawn,Drama|War,3.65,119,7.3,2076,100,5,69,334
37,1951,BEST PICTURE,FALSE,A Place in the Sun,Drama|Romance,3.8,122,7.8,17906,75,28,84,8513
38,1951,BEST PICTURE,FALSE,Quo Vadis,Drama|Romance,3.33,171,7.2,12087,88,16,73,3708
39,1951,BEST PICTURE,FALSE,A Streetcar Named Desire,Drama,4,122,8,90884,98,55,90,55049
40,1952,BEST PICTURE,TRUE,The Greatest Show on Earth,Drama|Family|Romance,3.35,152,6.7,11488,45,29,55,6168
41,1952,BEST PICTURE,FALSE,High Noon,Drama|Western,4.04,85,8,89920,96,50,89,25323
42,1952,BEST PICTURE,FALSE,Ivanhoe,Adventure|Drama|Romance,3.18,106,6.8,7442,79,14,64,5025
43,1952,BEST PICTURE,FALSE,Moulin Rouge,Drama,3.21,119,7.1,4479,78,9,90,68270
44,1952,BEST PICTURE,FALSE,The Quiet Man,Comedy|Drama|Romance,3.8,129,7.8,31544,90,40,91,30384
45,1953,BEST PICTURE,TRUE,From Here to Eternity,Drama|Romance|War,3.93,118,7.7,39191,92,52,84,14837
46,1953,BEST PICTURE,FALSE,Julius Caesar,Drama,3.55,120,7.4,9332,95,20,81,5238
47,1953,BEST PICTURE,FALSE,The Robe,Drama|History,3.4,135,6.8,8055,33,18,69,6004
48,1953,BEST PICTURE,FALSE,Roman Holiday,Comedy|Drama|Romance,4.06,118,8.1,116728,98,53,93,63319
