Film,Rater,Year,Win,Genres
Lawrence of Arabia,Oscars,1962,1,Adventure
The Longest Day,Oscars,1962,0,
Meredith Willson's The Music Man,Oscars,1962,0,
Mutiny on the Bounty,Oscars,1962,0,Adventure
To Kill a Mockingbird,Oscars,1962,0,Drama
America America,Oscars,1963,0,
Cleopatra,Oscars,1963,0,Drama
How the West Was Won,Oscars,1963,0,Adventure
Lilies of the Field,Oscars,1963,0,Drama
Tom Jones,Oscars,1963,1,Adventure
Becket,Oscars,1964,0,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Oscars,1964,0,Comedy
Mary Poppins,Oscars,1964,0,Children
My Fair Lady,Oscars,1964,1,Comedy
Zorba the Greek,Oscars,1964,0,Adventure
Darling,Oscars,1965,0,Drama
Doctor Zhivago,Oscars,1965,0,Drama
Ship of Fools,Oscars,1965,0,Drama
The Sound of Music,Oscars,1965,1,
A Thousand Clowns,Oscars,1965,0,
Alfie,Oscars,1966,0,Comedy
A Man for All Seasons,Oscars,1966,1,
The Russians Are Coming The Russians Are Coming,Oscars,1966,0,
The Sand Pebbles,Oscars,1966,0,
Who's Afraid of Virginia Woolf?,Oscars,1966,0,Drama
Bonnie and Clyde,Oscars,1967,0,Crime
Doctor Dolittle,Oscars,1967,0,Adventure
The Graduate,Oscars,1967,0,
Guess Who's Coming to Dinner,Oscars,1967,0,Drama
In the Heat of the Night,Oscars,1967,1,Drama
Funny Girl,Oscars,1968,0,Drama
The Lion in Winter,Oscars,1968,0,
Oliver!,Oscars,1968,1,Drama
"Rachel, Rachel",Oscars,1968,0,Drama
Romeo and Juliet,Oscars,1968,0,Drama
Anne of the Thousand Days,Oscars,1969,0,Drama
Butch Cassidy and the Sundance Kid,Oscars,1969,0,Action
"Hello, Dolly!",Oscars,1969,0,Comedy
Midnight Cowboy,Oscars,1969,1,Drama
Z,Oscars,1969,0,Drama
Airport,Oscars,1970,0,Drama
Five Easy Pieces,Oscars,1970,0,Drama
Love Story,Oscars,1970,0,Drama
M*A*S*H,Oscars,1970,0,Comedy
Patton,Oscars,1970,1,Drama
A Clockwork Orange,Oscars,1971,0,
Fiddler on the Roof,Oscars,1971,0,Drama
The French Connection,Oscars,1971,1,
The Last Picture Show,Oscars,1971,0,
Nicholas and Alexandra,Oscars,1971,0,Drama
Cabaret,Oscars,1972,0,Drama
Deliverance,Oscars,1972,0,Adventure
The Emigrants,Oscars,1972,0,
The Godfather,Oscars,1972,1,
Sounder,Oscars,1972,0,Drama
American Graffiti,Oscars,1973,0,Comedy
Cries and Whispers,Oscars,1973,0,Drama
The Exorcist,Oscars,1973,0,
The Sting,Oscars,1973,1,Comedy
A Touch of Class,Oscars,1973,0,
Chinatown,Oscars,1974,0,Crime
The Conversation,Oscars,1974,0,
The Godfather Part II,Oscars,1974,1,
Lenny,Oscars,1974,0,Drama
The Towering Inferno,Oscars,1974,0,
Barry Lyndon,Oscars,1975,0,Drama
Dog Day Afternoon,Oscars,1975,0,Crime
Jaws,Oscars,1975,0,Action
Nashville,Oscars,1975,0,Drama
One Flew over the Cuckoo's Nest,Oscars,1975,1,
All the President's Men,Oscars,1976,0,Drama
Bound for Glory,Oscars,1976,0,Drama
Network,Oscars,1976,0,Comedy
Rocky,Oscars,1976,1,Drama
Taxi Driver,Oscars,1976,0,Crime
Annie Hall,Oscars,1977,1,Comedy
The Goodbye Girl,Oscars,1977,0,
Julia,Oscars,1977,0,Drama
Star Wars,Oscars,1977,0,
The Turning Point,Oscars,1977,0,Action
Coming Home,Oscars,1978,0,Drama
The Deer Hunter,Oscars,1978,1,
Heaven Can Wait,Oscars,1978,0,Comedy
Midnight Express,Oscars,1978,0,Drama
An Unmarried Woman,Oscars,1978,0,
All That Jazz,Oscars,1979,0,Drama
Apocalypse Now,Oscars,1979,0,Action
Breaking Away,Oscars,1979,0,Comedy
Kramer vs. Kramer,Oscars,1979,1,Drama
Norma Rae,Oscars,1979,0,Drama
Coal Miner's Daughter,Oscars,1980,0,Drama
The Elephant Man,Oscars,1980,0,Drama
Ordinary People,Oscars,1980,1,Drama
Raging Bull,Oscars,1980,0,Drama
Tess,Oscars,1980,0,Drama
Atlantic City,Oscars,1981,0,Crime
Chariots of Fire,Oscars,1981,1,Drama
On Golden Pond,Oscars,1981,0,Drama
Raiders of the Lost Ark,Oscars,1981,0,Action
Reds,Oscars,1981,0,Drama
E.T. The Extra-Terrestrial,Oscars,1982,0,
Gandhi,Oscars,1982,1,Drama
Missing,Oscars,1982,0,Drama
Tootsie,Oscars,1982,0,Comedy
The Verdict,Oscars,1982,0,
The Big Chill,Oscars,1983,0,
The Dresser,Oscars,1983,0,Drama
The Right Stuff,Oscars,1983,0,
Tender Mercies,Oscars,1983,0,Drama
Terms of Endearment,Oscars,1983,1,Comedy
Amadeus,Oscars,1984,1,Drama
The Killing Fields,Oscars,1984,0,
A Passage to India,Oscars,1984,0,
Places in the Heart,Oscars,1984,0,Drama
A Soldier's Story,Oscars,1984,0,
The Color Purple,Oscars,1985,0,
Kiss of the Spider Woman,Oscars,1985,0,Drama
Out of Africa,Oscars,1985,1,Drama
Prizzi's Honor,Oscars,1985,0,Comedy
Witness,Oscars,1985,0,Drama
Children of a Lesser God,Oscars,1986,0,Drama
Hannah and Her Sisters,Oscars,1986,0,Comedy
The Mission,Oscars,1986,0,
Platoon,Oscars,1986,1,Drama
A Room with a View,Oscars,1986,0,
Broadcast News,Oscars,1987,0,Comedy
Fatal Attraction,Oscars,1987,0,Drama
Hope and Glory,Oscars,1987,0,Drama
The Last Emperor,Oscars,1987,1,
Moonstruck,Oscars,1987,0,Comedy
The Accidental Tourist,Oscars,1988,0,
Dangerous Liaisons,Oscars,1988,0,Drama
Mississippi Burning,Oscars,1988,0,Crime
Rain Man,Oscars,1988,1,Drama
Working Girl,Oscars,1988,0,Comedy
Born on the Fourth of July,Oscars,1989,0,Drama
Dead Poets Society,Oscars,1989,0,Drama
Driving Miss Daisy,Oscars,1989,1,Drama
Field of Dreams,Oscars,1989,0,Children
My Left Foot,Oscars,1989,0,Drama
Awakenings,Oscars,1990,0,Drama
Dances With Wolves,Oscars,1990,1,
Ghost,Oscars,1990,0,Comedy
"The Godfather, Part III",Oscars,1990,0,
Good Fellas,Oscars,1990,0,
Beauty and the Beast,Oscars,1991,0,Animation
Bugsy,Oscars,1991,0,Crime
JFK,Oscars,1991,0,Drama
The Prince of Tides,Oscars,1991,0,
The Silence of the Lambs,Oscars,1991,1,
The Crying Game,Oscars,1992,0,
A Few Good Men,Oscars,1992,0,
Howards End,Oscars,1992,0,Drama
Scent of a Woman,Oscars,1992,0,Drama
Unforgiven,Oscars,1992,1,Drama
The Fugitive,Oscars,1993,0,
In the Name of the Father,Oscars,1993,0,Drama
The Piano,Oscars,1993,0,
The Remains of the Day,Oscars,1993,0,
Schindler's List,Oscars,1993,1,Drama
Forrest Gump,Oscars,1994,1,Comedy
Four Weddings and a Funeral,Oscars,1994,0,Comedy
Pulp Fiction,Oscars,1994,0,Comedy
Quiz Show,Oscars,1994,0,Drama
The Shawshank Redemption,Oscars,1994,0,
Apollo 13,Oscars,1995,0,Adventure
Babe,Oscars,1995,0,Children
Braveheart,Oscars,1995,1,Action
The Postman (Il Postino),Oscars,1995,0,
Sense and Sensibility,Oscars,1995,0,Drama
The English Patient,Oscars,1996,1,
Fargo,Oscars,1996,0,Comedy
Jerry Maguire,Oscars,1996,0,Drama
